75,525
810,210
0,0
30,0
60,0
90,0
120,0
150,0
180,0
210,0
240,0
270,0
300,0
330,0
360,0
390,0
420,0
450,0
480,0
510,0
540,0
570,0
600,0
630,0
660,0
690,0
720,0
750,0
780,0
810,0
840,0
870,0
0,30
330,30
870,30
0,60
330,60
360,60
870,60
0,90
30,90
60,90
90,90
120,90
150,90
180,90
210,90
300,90
330,90
360,90
390,90
420,90
450,90
540,90
570,90
600,90
630,90
660,90
690,90
720,90
750,90
870,90
0,120
690,120
870,120
0,150
690,150
870,150
0,180
120,180
150,180
180,180
210,180
300,180
330,180
360,180
390,180
420,180
450,180
540,180
570,180
600,180
630,180
660,180
690,180
720,180
750,180
870,180
0,210
870,210
0,240
870,240
0,270
30,270
120,270
150,270
180,270
210,270
300,270
330,270
360,270
390,270
420,270
450,270
540,270
570,270
600,270
630,270
660,270
690,270
720,270
750,270
780,270
810,270
840,270
870,270
0,300
30,300
60,300
390,300
870,300
0,330
60,330
90,330
390,330
870,330
0,360
90,360
120,360
150,360
180,360
210,360
300,360
330,360
360,360
390,360
420,360
450,360
540,360
570,360
600,360
630,360
660,360
690,360
720,360
750,360
870,360
0,390
870,390
0,420
870,420
0,450
120,450
150,450
180,450
210,450
300,450
330,450
360,450
390,450
420,450
450,450
540,450
570,450
600,450
630,450
660,450
690,450
720,450
750,450
870,450
0,480
390,480
870,480
0,510
390,510
870,510
0,540
390,540
870,540
0,570
30,570
60,570
90,570
120,570
150,570
180,570
210,570
240,570
270,570
300,570
330,570
360,570
390,570
420,570
450,570
480,570
510,570
540,570
570,570
600,570
630,570
660,570
690,570
720,570
750,570
780,570
810,570
840,570
870,570
